iter	Passed	Remaining
879	2118	288
880	2120	286
881	2122	284
882	2124	281
883	2126	279
884	2128	276
885	2129	274
886	2131	271
887	2133	269
888	2135	266
889	2137	264
890	2139	261
891	2141	259
892	2142	256
893	2144	254
894	2146	251
895	2148	249
896	2149	246
897	2151	244
898	2153	241
899	2155	239
900	2157	237
901	2159	234
902	2161	232
903	2163	229
904	2165	227
905	2167	224
906	2169	222
907	2171	220
908	2173	217
909	2175	215
910	2177	212
911	2178	210
912	2180	207
913	2182	205
914	2184	202
915	2186	200
916	2188	198
917	2190	195
918	2192	193
919	2193	190
920	2195	188
921	2197	185
922	2199	183
923	2201	181
924	2203	178
925	2205	176
926	2207	173
927	2209	171
928	2211	169
929	2213	166
930	2215	164
931	2217	161
932	2219	159
933	2221	156
934	2222	154
935	2224	152
936	2226	149
937	2228	147
938	2230	144
939	2232	142
940	2234	140
941	2236	137
942	2238	135
943	2240	132
944	2242	130
945	2244	128
946	2247	125
947	2248	123
948	2250	120
949	2252	118
950	2253	116
951	2256	113
952	2258	111
953	2260	108
954	2262	106
955	2264	104
956	2265	101
957	2267	99
958	2269	97
959	2271	94
960	2273	92
961	2275	89
962	2277	87
963	2278	85
964	2280	82
965	2282	80
966	2283	77
967	2286	75
968	2289	73
969	2291	70
970	2293	68
971	2295	66
972	2297	63
973	2299	61
974	2302	59
975	2304	56
976	2306	54
977	2308	51
978	2310	49
979	2312	47
980	2313	44
981	2315	42
982	2317	40
983	2319	37
984	2321	35
985	2322	32
986	2324	30
987	2326	28
988	2328	25
989	2330	23
990	2331	21
991	2333	18
992	2335	16
993	2337	14
994	2339	11
995	2341	9
996	2343	7
997	2345	4
998	2347	2
999	2349	0
